gene,logFC,p_value
CDKN1A,1.3055125879838867,2.815159159878824e-166
MDM2,0.9935880772526948,5.115120408920237e-155
GDF15,0.9770055372613471,3.3289022068091404e-146
SUGCT,0.7084083921314841,1.032624789140117e-139
RPS27,0.3655635344802235,3.800669834938687e-97
FDXR,0.6790453697727106,1.037448403550861e-96
RPS28,0.3551257171407869,1.5398533172543532e-96
TP53I3,0.8338715880886367,4.120664660750377e-92
RPL37A,0.3358283280239114,6.908846804279895e-92
RPL39,0.31805612634097535,1.0067506789589399e-79
RPS21,0.3235838912608653,2.465346084672478e-75
RPL38,0.36153238088645523,5.183712965647629e-73
H2AFZ,-0.6785388411383018,5.476627641817842e-72
MT-ND3,0.37974497594644596,4.360319388395408e-67
RPS19,0.2590727469804559,8.036110782319273e-55
HMGN2,-0.5514853668886506,8.391279441170923e-55
ATP5E,0.2884245581562439,1.8599168270683275e-54
BTG2,0.38674322286549057,2.2425138465511296e-54
RPL36,0.26469422877217497,2.9382731964063497e-53
RPS29,0.31357043607568613,9.293918047940626e-53
RPL37,0.2733137805374408,5.2497641872654665e-51
HMGB1,-0.5049668341507569,5.865564845421487e-50
KIAA0101,-0.7089225249070319,1.3943843800116777e-48
LSM4,-0.5212861619766445,1.2740876113264992e-45
RPLP2,0.2286314816902184,2.040576456777716e-45
DEK,-0.5436137010959357,1.649728339663295e-41
STMN1,-0.5957631038712865,1.0277616058318507e-40
OST4,0.3581886311312452,1.8031669628202796e-40
DTYMK,-0.5778762651746101,3.3089248185512057e-40
ZMAT3,0.41291596254877394,2.4847337196197003e-39
SIVA1,-0.4592011329853918,3.4772706017118304e-38
GADD45A,0.5802249618830677,1.484476629776153e-37
ANP32B,-0.5028227764922315,1.5364539091610922e-37
RPL35A,0.20883404994673427,1.7595084510112015e-37
TCEB2,0.28832585003193323,2.0330321313315195e-36
RANBP1,-0.4760070776954972,9.38284254358591e-36
HMGN1,-0.3371264704041934,9.825353543673564e-36
RPS19BP1,-0.4318903294512282,1.1818024647560504e-34
RPS27L,0.43338435539330256,1.71411491539444e-33
GINS2,-0.4780575808137755,1.762577741934932e-33
EIF4EBP1,-0.49519043082368874,2.122467425954251e-33
HNRNPA2B1,-0.41192057270858307,8.350914163776431e-33
BBC3,0.3468259854419351,8.350914163776431e-33
BIRC5,-0.5567302466442374,2.1809578310107772e-32
RPL35,0.19030996642336362,2.1809578310107772e-32
GPX4,-0.33242538954043255,2.5530260550479546e-32
HMGN3,-0.4841056158454169,2.5530260550479546e-32
RPL31,0.2167867205053451,3.126543856324839e-32
DNMT1,-0.49454471994327154,3.47332250663435e-32
DUT,-0.5165348984460856,5.249326342431883e-32
FAS,0.26260328726935445,5.323066766818072e-32
S100A6,0.3367865911442198,6.717281118495701e-32
CDKN3,-0.5538700830058128,8.955392051585029e-32
KPNB1,-0.46967004127891077,2.93223036025524e-31
TMEM106C,-0.4883386163927774,5.173065686090929e-31
POLD2,-0.4466713618605418,1.7439093280949005e-30
IGFBP6,-0.4296407352971352,5.030742235837926e-30
NFIC,-0.4387133571884343,5.370010316228502e-30
TK1,-0.48740195785717955,5.370010316228502e-30
DHRS3,-0.28924372100238305,1.2012557873734933e-29
SEC61G,0.3177457743940284,1.2488425267598117e-29
AURKAIP1,-0.3184619458247173,1.3170459886787057e-29
PTMS,-0.4032177900883358,1.650921149534625e-29
RPL34,0.2068158541635139,1.8395186559157156e-29
NSG1,0.2545758673742631,2.939167839424544e-29
MRPS34,-0.44770923817114294,3.6790025854278915e-29
SRSF2,-0.43777963164671263,6.713287480981056e-29
JTB,-0.3603991926086536,7.464736024203306e-29
RRAD,0.2735788814015683,7.814652266398645e-29
RPL41,0.16113638362559968,8.822230253964391e-29
DCTPP1,-0.4684743265637641,1.411324143736407e-28
TOMM40,-0.456594882571113,2.4713738977066694e-28
CBX3,-0.45215805968562073,7.213983518510679e-28
LY6E,-0.4004953114052263,1.2151283941050007e-27
PPDPF,-0.2750826051115123,2.2118676121476932e-27
MTDH,-0.33217382706063425,6.990709668135674e-27
PRELID1,-0.26362270450662884,7.36954355809464e-27
TRIAP1,0.4488874123084816,9.86537694314003e-27
CKS1B,-0.5000950065520353,1.042850336255709e-26
C18orf56,0.3010502475553567,1.246145244154088e-26
SSRP1,-0.4407753476215577,1.8438269919918523e-26
PARP1,-0.44748356782700505,2.6351607499820636e-26
SNRPB,-0.376051819109783,3.1017874966031963e-26
PXMP2,-0.4333480215587553,2.113374721221734e-25
YBX3,0.3691014665888286,5.258677236183984e-25
CDC42EP1,-0.3913840243052702,6.750625283256487e-25
STRA13,-0.404951918063972,9.494415205751601e-25
H1FX,-0.4795093812362614,1.1923535424031123e-24
MYBL2,-0.4503195114612861,1.2395098782048426e-24
HMGB2,-0.5146356488199357,1.2807272134720235e-24
CDT1,-0.3495789954608277,1.7272829805055764e-24
C1QL1,-0.26687693975100757,3.1505078742021843e-24
BAZ1B,-0.4082748346912819,8.906893223584689e-24
SERPINH1,-0.40363264067231075,9.951371077989359e-24
NUPR1,0.2905694363380773,1.1186842243665295e-23
PGP,-0.4262810236700787,1.2402338659649665e-23
YPEL3,0.3608508607728176,1.3949202552207292e-23
SNRNP25,-0.4227382845556944,1.9411175232734458e-23
PLEKHJ1,-0.41199339591914264,2.3628722888068914e-23
CHAF1A,-0.3428428941064876,7.163275626279084e-23
C20orf27,-0.40639323122035975,1.0033355003192662e-22
H2AFV,-0.33063927498313816,1.66388084482658e-22
C11orf48,-0.3804545916918709,2.106307445149089e-22
CES2,0.35131466503569175,3.2005154915941247e-22
DHFR,-0.40505428420650524,3.629883963301515e-22
UBE2S,-0.47894724643164466,3.8556860542169377e-22
RAB34,-0.34133885059351243,5.267680904817891e-22
NHP2,-0.29510451092051326,5.584529798867923e-22
HMGA1,-0.319456397538854,6.411696528414382e-22
EMP2,-0.37462812794401756,8.848225348118943e-22
DHCR24,-0.384855445752569,1.3173115357876893e-21
CDK4,-0.4019072443913432,1.3446131397004359e-21
TUBA1B,-0.4020893581646927,1.7388137051425057e-21
RRM2B,0.20782348284210528,2.252299350459565e-21
CENPN,-0.40263728786447306,2.838281857416321e-21
HN1,-0.3343834751803296,3.026894655136942e-21
HIST1H2BJ,0.2489808587448561,3.1886685394721708e-21
RNPS1,-0.38120686409090876,3.5926939393159715e-21
TMEM14A,-0.3917245617356748,4.5158484282090484e-21
UQCRB,0.29270605094824553,4.5708870284654005e-21
PHF19,-0.39914600053794747,4.667811075034655e-21
MAZ,-0.3901027509150765,4.964696851215908e-21
ZNF385A,0.3077135231616195,6.0512459598075445e-21
E2F1,-0.3916731761429437,6.0876389658583135e-21
ITGAE,-0.39274161906346006,6.587310845466457e-21
GRK6,-0.38040488205133016,7.645394406744076e-21
BAD,-0.3895561409011261,8.673478872636775e-21
POP7,-0.3912378845074409,9.01557526811758e-21
ZDHHC12,-0.37863758095235056,9.093750561582749e-21
POLR2L,0.25134480060351017,1.7413413831773553e-20
SRM,-0.3183696961117626,1.786344260587143e-20
TIMM13,-0.3140116349874038,1.8811596571633545e-20
S100A11,0.23638497188074403,2.6219423626222147e-20
SNRPD1,-0.3536748965092027,2.6292789866048754e-20
PHPT1,0.3374931721625076,2.7689507440639604e-20
HDGF,-0.3599700399003112,2.7689507440639604e-20
LSM2,-0.3778451917633481,4.2131546749244914e-20
TMUB1,-0.374515231088286,4.9694090271658084e-20
MKI67,-0.40806174361099057,6.056207583553939e-20
NUDT1,-0.37953412620299964,6.177944403505656e-20
RABL6,-0.3769753039639987,6.866697087802317e-20
NASP,-0.3591545776712941,7.980336324549545e-20
SET,-0.29381257901896873,8.20702233036258e-20
C17orf89,0.31005962115525065,8.20702233036258e-20
PIN1,-0.3740365890248123,9.586238379873383e-20
STOML2,-0.34426774027448026,9.586238379873383e-20
ICMT,-0.3661486240653451,1.4722035445968462e-19
ATOX1,0.28524372777060236,1.8692897629470986e-19
FLOT1,-0.36747277735666817,2.0673783943613495e-19
SLC2A4RG,-0.37777371800593684,2.9600990965898896e-19
HNRNPA0,-0.3613370396023763,3.454253839848851e-19
CENPM,-0.35620734950006483,3.514916536570388e-19
POLR3K,-0.3876234759199102,3.514916536570388e-19
GCSH,-0.36475445970448117,3.9779540975574384e-19
CCDC85B,-0.36506380692599105,4.29652994254854e-19
PTPMT1,-0.3618602005959213,6.101737278505515e-19
PEG10,-0.30160518842362727,6.108965247306138e-19
PTP4A2,-0.3163978406754291,6.725675852891092e-19
TOMM7,0.23972951225276695,9.059770335737245e-19
FEZ1,0.21180127910169944,1.0053480182842294e-18
UPP1,-0.37272168848635445,1.1506373019023722e-18
COX7C,0.2116513730864309,1.1518766765691534e-18
RPS20,0.1398847322590573,1.2049648782305156e-18
RPS26,0.16236983246659875,1.4680412443801294e-18
DPM2,-0.3678631591597332,1.4680412443801294e-18
UBL5,0.2555298507691539,1.8514699741247635e-18
SRSF7,-0.3769909151806896,1.8514699741247635e-18
LSM5,-0.3064361847993551,1.9486381360298203e-18
CKS2,-0.45399216376531903,2.5294997911697755e-18
CARHSP1,-0.3705153031560853,2.9384343958389973e-18
MRPS26,-0.3636943826044732,3.395006851873611e-18
ROMO1,0.3237754870914138,3.672167031909885e-18
ANKRA2,0.20834676602445956,4.03195870497456e-18
SRSF9,-0.27781934087588134,4.276039216558818e-18
H2AFX,-0.3547654937507527,4.40446016175196e-18
TMA7,0.23813903400544056,5.364597529703318e-18
DNAJC9,-0.34696437185981477,5.540795464902093e-18
TCF19,-0.2863220928569232,5.607077924395753e-18
ARPC1B,-0.3023527430051587,8.678152834929839e-18
MAD2L2,-0.3583995791513246,8.848536719424915e-18
ISOC2,-0.3540060870148025,1.3692478962953264e-17
PPP2R4,-0.3364624670138481,1.440100382639492e-17
BCL2L12,-0.35036324341126157,1.5897780239245275e-17
PSMG3,-0.3551349245325248,1.8080587605643018e-17
IKBIP,0.3084189393991599,2.1660655892853846e-17
MRPL4,-0.3543410051635627,2.5566058940223558e-17
UBE2T,-0.34808482816094166,3.860000941165616e-17
CACYBP,-0.3647484831709331,4.726899073572046e-17
KLHDC3,-0.3225180338635685,5.917881641080166e-17
GADD45GIP1,-0.2649770255854609,6.226764434079174e-17
EIF1AX,-0.32738102460852136,6.282706896998793e-17
LRRFIP1,-0.3538272097647255,6.309634560953826e-17
USP1,-0.34506410366606044,8.307699211538484e-17
ISCU,0.3519915070855628,9.429831092881064e-17
SF3B14,-0.2852159517539281,1.1233044352672854e-16
BCL7B,-0.3467138887110872,1.2419191756342006e-16
C19orf48,-0.35868331440626466,1.2978707310065986e-16
SUMO3,-0.3243809964930886,1.4484663230748946e-16
MSRB1,-0.3251816087389727,1.7860967035358638e-16
METRN,-0.35192997440516205,1.9563084820939735e-16
IFRD2,-0.34064587116181766,2.1115218181240437e-16
C9orf3,-0.29719004997466136,2.1844324524048485e-16
RNF207,-0.18145072552032282,2.4827285151875625e-16
HINT2,-0.3406558508439401,2.781378815604797e-16
MRPS12,-0.3121241002701156,2.843734043484458e-16
UBE2L6,-0.28981355114456164,2.843734043484458e-16
SAT1,0.40268562228370186,3.3688643301359163e-16
