gene,logFC,p_value
UBE2I,-0.32161673792532763,3.459971180532936e-16
UBA52,0.17131989318960272,3.774611601131809e-16
RPL30,0.14003362964195176,4.394678619710786e-16
AGPAT2,-0.3354583341163515,4.508231852543187e-16
EBP,-0.3192751608605855,4.662309958836772e-16
BCL7C,-0.32827274464163914,5.7603986792598855e-16
MRPL11,-0.3082376913014624,6.116815005499298e-16
OAZ1,-0.15806645413766418,7.064222583114321e-16
PSMB9,-0.309015324749196,7.225183017138807e-16
MAF1,-0.3274759033055483,7.563980400393305e-16
CBX5,-0.3197895703968179,8.549393495749653e-16
ASPM,-0.24823726833803672,9.241006576652546e-16
BRI3BP,-0.3097754840141098,9.258631311091872e-16
APOBEC3C,0.2805317845513633,9.2821666919735e-16
ORAI3,0.21030071767197978,1.0069215619087585e-15
U2AF1,-0.32571797357003174,1.0261592846328225e-15
MRPL34,-0.33666176108099766,1.1125692366108553e-15
MRPL51,-0.22629822087191798,1.1735772192884147e-15
CTSZ,-0.31919765853860405,1.3353168543624493e-15
MRPL12,-0.3193788251165701,1.3820158826353327e-15
POLD3,-0.2058775057117419,1.3923819172621833e-15
HNRNPM,-0.3418891809093685,1.4828255793103775e-15
FUCA1,0.18874297476326607,1.4828255793103775e-15
TMEM54,-0.3254372041915037,2.041274306927585e-15
SSBP4,-0.3151665116108333,2.154931216053889e-15
MTCH1,-0.3132210858461324,2.266284525009633e-15
CDIP1,0.1989818765992064,2.6222753291830925e-15
LMNB2,-0.29812677487305006,2.6764200328702394e-15
NFIB,-0.23973329252436848,2.6915251822899092e-15
GLRX5,-0.3040305091962878,2.6915251822899092e-15
PIDD,0.17477170974503764,2.9222159439402276e-15
FAU,0.1471135555766807,3.0384170682150353e-15
C14orf1,-0.3167922364329989,3.3405290066444867e-15
ZNF511,-0.3277289858859005,3.508837340944528e-15
CLSPN,-0.2903228135262852,3.842032432354629e-15
TMEM147,-0.2853519415587442,4.5030169764165434e-15
HDDC2,-0.33016622726444034,4.833173202879066e-15
HNRNPU,-0.33476010827121083,5.049710454916864e-15
GAMT,0.29007001237567653,5.049710454916864e-15
ELOF1,-0.3317168841625966,5.262615778649972e-15
TP53TG1,0.2976970948181936,5.271821211882182e-15
NUSAP1,-0.30633640923337335,5.957745005158534e-15
PSIP1,-0.274306891715006,6.109577002564303e-15
SMC2,-0.2783841748598146,6.1849658192195996e-15
GGCT,-0.3312416956625084,6.1849658192195996e-15
CDKN2C,-0.2446743817033319,6.3270083718878425e-15
LSM6,-0.3235645128856399,7.503102031403964e-15
CENPW,-0.3350976533492842,7.648964889425546e-15
MCM3,-0.2663819042112392,8.083010637940888e-15
CENPF,-0.357788319672915,9.435566987985991e-15
RPS15,0.1294299153480214,9.438265874449245e-15
LSM10,-0.32309532385099526,1.0546490625714189e-14
PKN1,-0.30131283220237837,1.1419209770255023e-14
FOXM1,-0.31056350074032757,1.2508936737103262e-14
CKLF,-0.3398171171140705,1.2867804130288025e-14
MRPL20,-0.27549575356883516,1.2948994214335498e-14
FAM195A,-0.3271393963495317,1.4107904595514694e-14
LYPD1,-0.22521148155026527,1.4107904595514694e-14
RRM2,-0.3110779620394313,1.438433407989316e-14
MRPS11,-0.3271836704905535,1.4904206044294778e-14
MRPL17,-0.3255372493629345,1.639534533601276e-14
PTGES3,-0.2944369858747118,1.722108977111001e-14
IER3,0.3268060431671067,1.8144400856417444e-14
SORBS3,-0.2766191659453403,1.8513586223511125e-14
COL1A1,-0.2165046076514443,1.94664872095142e-14
MCM7,-0.2887900892505817,1.9859628874402524e-14
NDUFB10,-0.2902522223980393,2.0691167005450116e-14
ANP32E,-0.29813635040159703,2.096298971943855e-14
NUDCD2,-0.3237383869387971,2.1963991714768536e-14
TAF6,-0.2784712010918744,2.1963991714768536e-14
PPM1G,-0.31564887500554484,2.3571072651907054e-14
ZWINT,-0.2892520333873989,2.4284999152360385e-14
NGFRAP1,-0.2873171659876732,2.4687960240906175e-14
USMG5,0.2508149584378039,2.7440125065443983e-14
IRF3,-0.2925672706534561,3.1925766961263655e-14
RPL39L,-0.29395120672374464,3.223746895192581e-14
SESN2,0.17116594193308377,3.8992826465367604e-14
RPL32,0.12011781328113713,4.3815964990508827e-14
GIPC1,-0.31013624834934816,4.4786032048343737e-14
FAM111A,-0.2504220467018463,4.7259461582482865e-14
KHSRP,-0.28872113068171057,4.8464435786472006e-14
RPS10,-0.2087941536312723,4.8656164343573386e-14
RPL27,0.13344006661720087,5.017550332968287e-14
PHB,-0.26835947691293605,5.694702435306263e-14
CLPP,-0.320541918336402,5.752231487237737e-14
CDCA3,-0.2902000878922424,6.616969615125124e-14
NDUFS8,-0.24443095648406477,7.19420335314752e-14
SLBP,-0.32090489634961994,7.215638605590378e-14
SERF2,0.14132780021227376,8.69950107602265e-14
MCM4,-0.24105582641237078,8.770429299306448e-14
PTMA,-0.16179552817408016,1.0085491121361694e-13
SRP9,-0.29609817970360464,1.0506130195463905e-13
RFC2,-0.26987544335432645,1.0506130195463905e-13
ELF3,-0.22968843071631806,1.0522971383864611e-13
NABP2,-0.30955680532238894,1.1228845346067123e-13
GPX1,0.20537712390761165,1.1369913234495387e-13
NFIX,-0.19874026472215878,1.1889759651089682e-13
HNRNPD,-0.3152616090679592,1.4007550028835635e-13
FBXO17,-0.20308627419345004,1.4131735947426297e-13
YWHAB,-0.22960604023545805,1.4673934958513438e-13
PPIH,-0.26779944957308466,1.4836654333987667e-13
PRADC1,-0.30079492224195636,1.502232823170624e-13
MDK,-0.2934122654404643,1.6161934080252238e-13
C7orf50,-0.2844236723457456,1.684049627215781e-13
RPS15A,0.1429989555854423,1.7335615592536358e-13
PRRC2A,-0.2800209521705872,1.7402665060592545e-13
HMG20B,-0.29927831087620405,1.7529869841114657e-13
TMEM99,-0.26915688485009603,2.0152673521700636e-13
UBE2E3,-0.3035302837885956,2.022489234726218e-13
NME4,-0.29827561960264237,2.1302737572412915e-13
MCRS1,-0.2906217531326014,2.1800630697698729e-13
PKMYT1,-0.22322474873709464,2.2335359094387286e-13
RAD23A,-0.28310662122323116,2.2395800175453227e-13
FAM64A,-0.21800472495096646,2.3966609870652863e-13
SRI,-0.31178713705892314,2.5109372786365215e-13
NME3,-0.2593538030372535,2.5770695026772387e-13
PITX1,-0.2830048156870282,2.5942310737741264e-13
UQCRQ,0.18993308399090836,2.6294830940970997e-13
MARCKSL1,-0.3143260375833181,2.6698190497427174e-13
HAX1,-0.30411235155099803,3.175772106649063e-13
ATP5I,0.2782414297313549,3.4042591308204395e-13
UBE2C,-0.40952294381952115,3.426646490781082e-13
ANXA4,0.2449661107309673,3.5975355151410275e-13
TMEM40,0.18563558409031167,3.915704232054423e-13
RBBP7,-0.2677876085185007,4.3554285807481245e-13
C16orf59,-0.19557874490352312,4.4399501343525337e-13
SCD,-0.2679046372726095,4.716364829703216e-13
HNRNPR,-0.3068857229690529,5.450312390488397e-13
ELP5,-0.251443767874342,5.696361960554065e-13
MXD3,-0.17614076080439833,5.832962610533297e-13
COX6C,0.21843030333144853,6.902845373037995e-13
C12orf5,0.21898688558167656,7.016588074237324e-13
MEA1,-0.29385803502164975,7.083175149602465e-13
NTHL1,-0.24741104197609598,7.312262170381025e-13
GTPBP6,-0.2669421579044986,7.932008895785535e-13
DUSP14,0.3034360960692659,8.222689369855426e-13
SMC4,-0.3177304469497342,8.222689369855426e-13
THAP11,-0.2766828242085637,9.165500452718849e-13
COX7A2,0.16184603645171336,9.429631536081512e-13
FAM20C,-0.18544710017479815,9.751278754628448e-13
TMEM126B,-0.28924353297470073,1.0901128927054748e-12
TBCB,-0.2962452801909983,1.093742011936809e-12
APH1A,-0.2976450255986869,1.4367796133586228e-12
DBI,-0.2552328126528458,1.7346979379733017e-12
SUMO2,-0.20425693025346803,1.8010427648506974e-12
CHPT1,-0.27057675900738865,1.856315964883093e-12
ID1,-0.3477144933352365,1.863615208199326e-12
EIF2AK1,-0.29094494167626106,1.979868481445842e-12
NXT1,-0.3038198599274482,2.2754406960414927e-12
C9orf142,-0.2931331878971317,2.3967845303779745e-12
TOP2A,-0.34272868412579083,2.5042050567940854e-12
RABL5,-0.2805893046560932,2.733293825370958e-12
PTBP1,-0.2900357662324886,2.798316918511527e-12
TMEM109,-0.2498637843155853,2.823085678379777e-12
SRSF3,-0.2786989715024868,2.8754383177068374e-12
TMPO,-0.27276710827014927,3.3955861454595235e-12
NDUFA1,0.2744200606949896,3.4213699019139424e-12
CYC1,-0.2620195132380214,3.5276673099829412e-12
CTNNAL1,-0.296958408552884,3.634255785944571e-12
WHSC1L1,-0.2903322548364775,3.816923036104225e-12
CCNA2,-0.24052030081775477,3.925584315241871e-12
ARL2,-0.2946142001780929,3.999177207908759e-12
PPP1CC,-0.2967986948924093,3.999771910907389e-12
NUP62,-0.2538172068282476,4.2227408783752555e-12
GTF2I,-0.288065601725477,4.329012672899857e-12
CHD3,-0.2233743777053787,4.3378432781727945e-12
CENPA,-0.2995536924289457,4.536157579690708e-12
NEAT1,0.3406321169131399,4.979946777323281e-12
EXOSC8,-0.24991677853330074,5.258130314330362e-12
MT2A,0.30515198704047997,5.333430715483147e-12
RASSF7,-0.25367117663001437,5.333430715483147e-12
CISD3,-0.2821950196555649,5.5216020914678854e-12
CRABP2,-0.22375439222491167,5.825246522561994e-12
RGS20,0.20962194910620102,5.843420119300349e-12
KANK2,-0.19009550097814376,5.948793881765868e-12
DUSP23,-0.27043788108125,6.404200731228969e-12
H3F3B,-0.17263950124910288,6.481843196243991e-12
RUSC1,-0.25107760117064615,6.710139165174112e-12
RPL28,0.11893680024095055,6.7284994415373974e-12
C14orf2,0.2179669297183704,6.861124369545097e-12
BANF1,-0.24686030513758084,7.125143717177297e-12
SLC39A1,-0.28848250621121263,7.393402666583778e-12
TADA3,-0.2851025769198685,8.386566799047395e-12
SFN,0.25885427933550353,8.511521470272086e-12
MIS18A,-0.21789900462159828,9.005012084651511e-12
SPC24,-0.18800381164254176,9.093634194288192e-12
FADS1,-0.2678447477406092,9.242781572213247e-12
DCAF7,-0.262071930235936,9.378238545695735e-12
RBM8A,-0.27984789008250743,9.7821662474561e-12
SLC35A4,-0.2486795390945291,1.0519284425181355e-11
CXXC5,-0.2591094935496683,1.057431657727826e-11
EIF4G1,-0.290258871753589,1.1166308931569828e-11
SLC25A39,-0.2400303263294532,1.1167178016706114e-11
TPX2,-0.3147778462352866,1.1244956924723748e-11
RPL23,0.1287832286165287,1.135693044751914e-11
SIGMAR1,-0.28096715967988484,1.1563593785592634e-11
PLP2,-0.26521795408281434,1.2073127553472151e-11
RNASEH1,-0.28631421388931155,1.2157033755505546e-11
NR2F6,-0.28369908732156013,1.2157033755505546e-11
CDCA5,-0.2563515334566615,1.3728246747166813e-11
RAD21,-0.2701405016771501,1.5021463216177082e-11
MRPS7,-0.2835373410742301,1.5612553850522023e-11
HMOX1,0.17644967954741642,1.631484485815274e-11
ERH,-0.23427369133517395,1.6402711563013476e-11
LINC01116,-0.1993856946461987,1.651655549421031e-11
POLE4,-0.28029218562433655,1.6608721731489923e-11
TMEM160,-0.27442758469288986,1.7554745822781068e-11
RAB5C,-0.26857199834665035,1.77168680725073e-11
SNRPA1,-0.2922240081816758,1.8183521177050183e-11
APITD1,-0.24043490931788192,1.8955802783170266e-11
SRSF1,-0.2851701176655359,2.0632458650832024e-11
IMP4,-0.28374427010664416,2.1153783831080283e-11
TIMM50,-0.28111111644121234,2.1784350018294112e-11
NMRAL1,-0.2606442335523065,2.2589037187263554e-11
PBX1,-0.13599045315751823,2.2720128215733408e-11
MRPL55,-0.270787143153008,2.5175209554974263e-11
EGLN2,-0.2737528292123592,2.5322667153497872e-11
ANKRD32,-0.16565945993818598,2.5413339711899337e-11
IPO5,-0.23606855271030192,2.5597115873526252e-11
PAQR4,-0.21190760338223313,2.6708994731696384e-11
YDJC,-0.2686706724820054,2.920669747778718e-11
BCKDK,-0.2720741129128106,2.960957827066555e-11
LYRM4,-0.2821962364111643,2.9823328316992764e-11
CCNB1,-0.29173455352232924,3.045812382788079e-11
AHCYL1,-0.263900151540267,3.162376749631003e-11
DDX46,-0.27163935265826744,3.278648127057934e-11
MEIS2,-0.17770470068652333,3.302335204836422e-11
KLK6,-0.1541684947170774,3.3846023603188074e-11
TEX30,-0.26270191803116916,3.686234529208094e-11
POLR2J,-0.22523452277353684,3.909890422612725e-11
PFN1,-0.14235643925587915,4.3547645761388126e-11
CHCHD3,-0.2808602888692633,4.441976059511314e-11
CTD-2015H6.3,-0.219157834417385,4.6969762657306426e-11
CIZ1,-0.26513370998823227,4.729831962857797e-11
GPRC5A,-0.2553999201618309,4.752474245623709e-11
TMEM203,-0.2769155664622245,4.980671838435871e-11
EEF1A1,0.1559765381660636,5.0449038878261657e-11
RAN,-0.19371296391491377,5.180564684665247e-11
SAPCD2,-0.21559423282239454,5.433904681502395e-11
CBY1,-0.2162778477618046,5.512548721388827e-11
RBM17,-0.26735083550622907,5.5406350881206226e-11
NINJ1,0.2750557361155357,5.544357186125124e-11
DONSON,-0.18018764765687223,6.025740827906735e-11
HES4,-0.31987414748180854,6.037567135998867e-11
THAP7,-0.26043143452999296,6.053856691401874e-11
CDC26,-0.2755286053237995,6.196013411099779e-11
CYB5A,-0.2775221054293997,6.389738788093611e-11
ROGDI,-0.20357415092837616,6.694770549747257e-11
GOLM1,-0.258775247455298,7.449480664638074e-11
SERPINE1,0.21240645247106205,7.505633368825642e-11
CNPY2,-0.24840340941921824,7.6521784477095e-11
RARRES3,-0.155615526532908,7.960607428036863e-11
EEF1E1,-0.27104968584754285,8.076025282578687e-11
RCN2,-0.28259227168165424,8.084138695459939e-11
PDCD7,-0.26031741165629896,9.27184966288242e-11
TSEN34,-0.2608097585935427,9.428194510547537e-11
HSPB11,-0.28045160307056083,9.460082492332441e-11
ASF1B,-0.2122252164174503,9.685470407650717e-11
EMP3,-0.241558835074156,9.913901855069663e-11
C19orf24,-0.2612941193686371,1.0623756959346371e-10
SAE1,-0.24692096461832946,1.0974747048760348e-10
GPX8,-0.20837275675285216,1.1078423541704084e-10
C19orf33,0.2234120624295146,1.1184898836914586e-10
MESDC2,-0.26898836685403005,1.2042089521602728e-10
SARS,0.26322191989524946,1.206322946505688e-10
REPIN1,-0.23447651592637708,1.211674423575954e-10
ATP5G1,-0.23598639325832238,1.217792461487458e-10
LSM3,-0.23823041995772165,1.2178209629469376e-10
PPAP2C,-0.2499672203605412,1.2566761109403261e-10
RFC1,-0.2576072152110669,1.328888314746931e-10
CTDNEP1,-0.26920425389258185,1.3348704118713867e-10
ORC6,-0.2294026660498405,1.399981714394216e-10
PABPN1,-0.26743523783404477,1.4432489362668255e-10
CENPU,-0.23886692115894625,1.4751991383853537e-10
EMC8,-0.2716856022741485,1.536713527501021e-10
CCDC90B,0.2722044430234254,1.536713527501021e-10
MARCKS,-0.27961848682392976,1.536713527501021e-10
KIF22,-0.21978665597739422,1.5761540222392006e-10
CCNB2,-0.2246416809940639,1.5761540222392006e-10
COA1,-0.2702455328094979,1.622335726124507e-10
COMMD4,-0.2647137482402311,1.641113291365385e-10
FTSJ2,-0.2583585200105585,1.6439943792567554e-10
NETO2,-0.24976119180678324,1.6449552552872368e-10
COLGALT1,-0.21852673596220384,1.7159279722937858e-10
MBD3,-0.21729545514208137,1.8251834659174523e-10
MAP3K11,-0.24080342117658038,1.854816427760396e-10
SLC25A11,-0.25588391367980545,1.854816427760396e-10
FDPS,-0.27305942453388354,1.9095028268032074e-10
CMC2,-0.26851838622804536,1.9382690503994353e-10
IFNGR2,-0.26722317139158847,1.9557413556483068e-10
NT5DC2,-0.2722381975621202,1.9598891417482955e-10
CHAF1B,-0.1397140453530472,1.9675811703940683e-10
TNFRSF1A,-0.2669213532223411,2.024067211619004e-10
SKA2,-0.26850885670682345,2.0279740424761415e-10
PYURF,-0.270927177892367,2.031862429043164e-10
SMCHD1,-0.20374616777930843,2.2802562209111956e-10
GFER,-0.2531342252382984,2.336498624253741e-10
RNASEH2A,-0.2376232899757582,2.404130999091533e-10
ERI3,-0.2593560359795779,2.734351323485579e-10
FAM98C,0.17340098741693044,2.7984312785183053e-10
RNF7,-0.22499239776189484,2.872391243796455e-10
NADSYN1,0.19260074773165226,3.021267613015871e-10
CENPH,-0.19395067504758678,3.2519297943323097e-10
BAX,0.26588129500012236,3.432117993173496e-10
SMC1A,-0.21103178580874626,3.452269312762534e-10
PAPOLA,-0.24939211766586133,3.484898124152524e-10
CPNE2,-0.21093911301382118,3.5209904790266423e-10
TSPAN15,-0.17902318328711164,3.5209904790266423e-10
H3F3A,-0.1704114901613636,4.0127718484996014e-10
EMC6,-0.2501406855866719,4.167538537413924e-10
